MODEL,VARIENT,YEAR,FUEL TYPE,EX SHOWROOM
Avenger ,Cruise 220 ,2015,Petrol ,"1,17,000"
Avenger ,Street 160 ,2019,Petrol ,94000
,,,,
Dominar ,400,2016,Petrol ,"1,90,000"
Dominar ,250,2019,Petrol ,"1,60,000"
,,,,
Pulsar ,220F ,2009,Petrol ,"1,17,000"
Pulsar ,NS 200 ,2012,Petrol ,"1,25,000"
Pulsar ,NS 160 ,2017,Petrol ,"1,04,000"
Pulsar ,150,2017,Petrol ,85000
Pulsar ,RS 200 ,2017,Petrol ,"1,45,000"
Pulsar ,180F ,2019,Petrol ,"1,08,000"
Pulsar ,125 Neon ,2020,Petrol ,73000
,,,,
Platina ,Platina ,2006,Petrol ,55000
Platina ,ES DRUM ,2019,Petrol ,57418
Platina ,KS DRUM,2021,Petrol ,52864
Platina ,ES DRUM ,2021,Petrol ,59569
Platina ,ES DISC,2021,Petrol ,63543
