Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
,,,,
ESCORT,4W,1996,PETROL,660000
ESCORT,SPORT E 1.6 ,1996,PETROL,680000
ESCORT,1.3 STANDARD,1996,PETROL,690000
ESCORT,A.6 ALPHA,1996,PETROL,700000
ESCORT,1.8 ORION,1996,DIESEL,785000
,,,,
IKON,1.4 TDCi DURA TORQ,2009,DIESEL,559000
IKON,ROCAM 1.3,2009,PETROL,497000
,,,,
MODEO,DURATORQ DI,2001,DIESEL,1500000
MODEO,DURATEC,2001,PETROL,1300000
MODEO,DURATECH HE,2001,PETROL,1300000
MODEO,GHIA DURATECH,2001,PETROL,1300000
,,,,
ENDEAVOUR,XLT 4X2,2003,DIESEL,1502000
ENDEAVOUR,XLT 4X4,2003,DIESEL,1501000
ENDEAVOUR,XLT TDCi 4X2,2007,DIESEL,1537000
ENDEAVOUR,XLT TDCi 4X4,2007,DIESEL,1582000
ENDEAVOUR,XLT TDCi 4X2 Ltd,2007,DIESEL,1602000
ENDEAVOUR,3.0L THUNDER+ 4X4,2007,DIESEL,1752000
ENDEAVOUR,ALLTERRAIN EDITION 4X4,2009,DIESEL,1937000
ENDEAVOUR,2.5L 4X2,2009,DIESEL,2014000
ENDEAVOUR,HURRICANE LE,2009,DIESEL,2041000
ENDEAVOUR,3.0L 4X2,2009,DIESEL,2161000
ENDEAVOUR,3.0L 4X4,2009,DIESEL,2342000
ENDEAVOUR,2.5L 4X2,2014,DIESEL,2264000
ENDEAVOUR,3.0L 4X2,2014,DIESEL,2423000
ENDEAVOUR,3.0L 4X4,2014,DIESEL,2618000
ENDEAVOUR,TREND 2.2 4X2 MT,2016,DIESEL,2632000
ENDEAVOUR,TREND 2.2 4X4 MT,2016,DIESEL,2745000
ENDEAVOUR,TREND 2.2 4X2 AT,2016,DIESEL,2679000
ENDEAVOUR,TREND 3.2 4X4 AT,2016,DIESEL,2854000
ENDEAVOUR,TITANIUM 2.2 4X2 AT,2016,DIESEL,2971000
ENDEAVOUR,TITANIUM 3.2 4X4 AT,2016,DIESEL,3352000
ENDEAVOUR,TITANIUM PLUS 4X2,2020,DIESEL,3381000
ENDEAVOUR,TITANIUM PLUS 4X4,2020,DIESEL,3561000
ENDEAVOUR,SPORT 4X4,2020,DIESEL,3626000
,,,,
FUSION,1.6 PETROL,2004,PETROL,597000
FUSION,PLUS ABS,2004,PETROL,637000
FUSION,PLUS  ,2004,PETROL,719000
