MODEL,VARIENT,YEAR,FUEL TYPE,EX SHOWROOM
,,,,
,,,,
Sportster-S,114,2021,Petrol ,"15,51,000"
,,,,
Fat-bob,114,2018,Petrol ,"16,75,000"
Fat-boy,114,2018,Petrol ,"20,90,000"
,,,,
,,,,
Glide-special,1250,2019,Petrol ,"31,99,000"
Pan-America,1250,2021,Petrol ,"19,99,000"
,,,,
Road-gilde,,1998,Petrol ,"34,99,000"
Road-king,,2016,Petrol ,"26,99,000"
,,,,
Electra-glide,114,1978,Petrol ,"24,99,000"
Heritage-class,1250,2018,Petrol ,"21,49,000"
,,,,
Low-rider,S ,2020,Petrol ,"14,69,000"
Street-bob,S ,2021,Petrol ,"15,99,000"
,,,,
,,,,
Softail,1250,2010,Petrol ,"15,25,000"
