Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
CITY,E,2008,PETROL,749000
CITY,S,2008,PETROL,819000
CITY,V,2008,PETROL,978000
CITY,SV,2012,PETROL,991000
CITY,V,2012,PETROL,1066000
CITY,VX,2012,PETROL,1182000
CITY,ZX,2012,PETROL,1301000
CITY,V,2020,PETROL,1116000
CITY,VX,2020,PETROL,1262000
CITY,ZX,2020,PETROL,1361000
CITY,V,2020,DIESEL,1276000
CITY,VX,2020,DIESEL,1412000
CITY,ZX,2020,DIESEL,1511000
,,,,
AMAZE,E,2014,PETROL,604000
AMAZE,EX,2014,PETROL,645000
AMAZE,S,2014,PETROL,686000
AMAZE,SX,2014,PETROL,746000
AMAZE,VX,2014,PETROL,787000
AMAZE,E,2014,DIESEL,722000
AMAZE,EX,2014,DIESEL,762000
AMAZE,S,2014,DIESEL,802000
AMAZE,SX,2014,DIESEL,847000
AMAZE,VX,2014,DIESEL,894000
AMAZE,E,2019,PETROL,632000
AMAZE,S,2019,PETROL,716000
AMAZE,VX,2019,PETROL,822000
AMAZE,E,2019,DIESEL,866000
AMAZE,S,2019,DIESEL,926000
AMAZE,VX,2019,DIESEL,1025000
,,,,
CIVIC,E,2006,PETROL,1135000
CIVIC,S,2006,PETROL,1410000
CIVIC,SPORT,2006,PETROL,1426000
CIVIC,V,2006,PETROL,1526000
,,,,
CIVIC,S,2010,PETROL,1259000
CIVIC,V,2010,PETROL,1374000
CIVIC,V SUNROOF,2010,PETROL,1577000
,,,,
CIVIC,VX,2018,DIESEL,2291000
CIVIC,ZX,2018,DIESEL,2470000
CIVIC,V,2018,PETROL,1990000
CIVIC,VX,2018,PETROL,2154000
CIVIC,ZX,2018,PETROL,2350000
,,,,
CRV,2.0 L 2WD,2013,PETROL,2835000
CRV,2.4 L 2 WD,2013,PETROL,2576000
CRV,2.4 L 4 WD,2013,PETROL,2965000
CRV,1.6 L AWD,2018,DIESEL,3607000
CRV,2WD ,2018,DIESEL,3378000
CRV,2 WD,2018,PETROL,3117000
CRV,SPECIAL EDITION 2 WD,2018,PETROL,32810000
,,,,
WRV,EDGE EDITION,2017,DIESEL,1017000
WRV,S ALIVE EDITION,2017,DIESEL,1028000
WRV,EDGE EDITION PLUS,2017,DIESEL,1034000
WRV,S ALIVE EDITION,2017,DIESEL,1041000
WRV,V,2017,DIESEL,1104000
WRV,VX,2017,DIESEL,1171000
WRV,EXCLUSIVE EDITION,2017,DIESEL,1187000
WRV,EDGE EDITION,2017,PETROL,899000
WRV,S ALIVE EDITION,2017,PETROL,913000
WRV,EDGE EDITION PLUS,2017,PETROL,914000
WRV,S ALIVE EDITION,2017,PETROL,921000
WRV,VX,2017,PETROL,1042000
WRV,EXCLUSIVE EDITION,2017,PETROL,1054000
WRV,SV,2020,DIESEL,1098000
WRV,VX,2020,DIESEL,1202000
WRV,SV,2020,PETROL,895000
WRV,VX,2020,PETROL,999000
,,,,
JAZZ,S ,2011,PETROL,808000
JAZZ,ACTIVE,2011,PETROL,857000
JAZZ,MODE,2011,PETROL,846000
JAZZ,SELECT EDITION,2011,PETROL,821000
JAZZ,X ,2011,PETROL,856000
JAZZ,E,2015,DIESEL,810000
JAZZ,S,2015,DIESEL,886000
JAZZ,SV,2015,DIESEL,927000
JAZZ,V,2015,DIESEL,981000
JAZZ,PRIVILEDGE EDITION,2015,DIESEL,983000
JAZZ,VX,2015,DIESEL,1029000
JAZZ,E,2015,PETROL,660000
JAZZ,S,2015,PETROL,730000
JAZZ,SV,2015,PETROL,776000
JAZZ,V,2015,PETROL,814000
JAZZ,PRIVILEDGE EDITION,2015,PETROL,821000
JAZZ,VX,2015,PETROL,862000
JAZZ,V,2019,PETROL,864000
JAZZ,VX,2019,PETROL,939000
JAZZ,ZX,2019,PETROL,1009000
,,,,
MOBILIO,E,2014,DIESEL,1026000
MOBILIO,S,2014,DIESEL,1111000
MOBILIO,V,2014,DIESEL,1246000
MOBILIO,V (O),2014,DIESEL,1309000
MOBILIO,E,2014,PETROL,848000
MOBILIO,S,2014,PETROL,974000
MOBILIO,V,2014,PETROL,1120000
MOBILIO,V (O),2014,PETROL,1183000
,,,,
BRV,E,2015,DIESEL,1139000
BRV,S STYLE EDITION,2015,DIESEL,1317000
BRV,S  ,2015,DIESEL,1317000
BRV,V,2015,DIESEL,1412000
BRV,V STYLE EDITION,2015,DIESEL,1412000
BRV,VX,2015,DIESEL,1530000
BRV,VX STYLE EDITION,2015,DIESEL,1531000
BRV,E,2015,PETROL,1055000
BRV,S,2015,PETROL,1198000
BRV,S STYLE EDITION,2015,PETROL,1197000
BRV,V,2015,PETROL,1297000
BRV,V STYLE EDITION,2015,PETROL,1296000
BRV,VX,2015,PETROL,1408000
BRV,VX STYLE EDITION,2015,PETROL,1408000
,,,,
BRIO,E,2011,PETROL,424000
BRIO,EX,2011,PETROL,447000
BRIO,S,2011,PETROL,482000
BRIO,S OPTION,2011,PETROL,506000
BRIO,V,2011,PETROL,516000
BRIO,E,2013,PETROL,529000
BRIO,EX,2013,PETROL,533000
BRIO,EXCLUSIVE EDITION,2013,PETROL,517000
BRIO,S,2013,PETROL,586000
BRIO,V,2013,PETROL,611000
BRIO,VX,2013,PETROL,655000
