Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
,,,,
SANTRO-XING,GL,2008,PETROL,355000
SANTRO-XING,GL,2008,CNG,409000
SANTRO-XING,GL,2008,LPG,378000
SANTRO-XING,GL PLUS,2008,PETROL,380000
SANTRO-XING,GL PLUS,2008,LPG,400000
SANTRO-XING,GLS,2008,PETROL,402000
SANTRO-XING,GLS ,2008,CNG,427000
SANTRO-XING,GLS,2008,LPG,420000
SANTRO-XING,NON AC,2008,PETROL,313000
SANTRO,ERA EXECUTIVE,2018,PETROL,486000
SANTRO,MAGNA,2018,PETROL,533000
SANTRO,SPORTZ,2018,PETROL,569000
SANTRO,ASTA,2018,PETROL,598000
,,,,
ACCENT,GLE,2003,PETROL,503000
ACCENT,GLS 1.6,2003,PETROL,596000
ACCENT,GLS 1.6 ABS,2003,PETROL,642000
ACCENT,CRDi,2003,DIESEL,702000
ACCENT,EXECUTIVE,2009,PETROL,524000
ACCENT,EXECUTIVE EDITION,2009,PETROL,524000
ACCENT,CNG,2009,PETROL,543000
ACCENT,EXECUTIVE LPG,2009,DIESEL,563000
,,,,
XCENT,KAPPA BASE,2014,PETROL,520000
XCENT,KAPPA S,2014,PETROL,600000
XCENT,KAPPA SX,2014,PETROL,640000
XCENT,KAPPA SX OPTION,2014,PETROL,709000
XCENT,KAPPA S OPTION,2014,PETROL,599000
XCENT,CRDi BASE,2014,DIESEL,610000
XCENT,CRDi S,2014,DIESEL,693000
XCENT,CRDi SX,2014,DIESEL,734000
XCENT,CRDi SX OPTION,2014,DIESEL,804000
XCENT,CRDi ASTA,2014,DIESEL,580000
XCENT,CRDi S OPTION,2014,DIESEL,685000
XCENT,E,2017,PETROL,581000
XCENT,E PLUS,2017,PETROL,603000
XCENT,S,2017,PETROL,647000
XCENT,SX ,2017,PETROL,709000
XCENT,SX (O),2017,PETROL,786000
XCENT,E,2017,DIESEL,673000
XCENT,E PLUS,2017,DIESEL,700000
XCENT,S,2017,DIESEL,745000
XCENT,SX,2017,DIESEL,802000
XCENT,SX (O),2017,DIESEL,880000
,,,,
SONATA,GLS,2001,PETROL,573000
SONATA,GOLD,2001,PETROL,658000
SONATA,2.0 S,2001,PETROL,578000
SONATA,2.7 V6,2001,PETROL,782000
SONATA,MT (FABRIC),2005,PETROL,1218000
SONATA,AT (FABRIC),2005,PETROL,1278000
SONATA,MT(LEATHER),2005,PETROL,2044000
SONATA,AT(LEATHER),2005,PETROL,1307000
SONATA,CRDi,2005,DIESEL,1353000
SONATA,CRDi AT,2005,DIESEL,1586000
SONATA,CRDi,2009,DIESEL,1629000
SONATA,CRDi AT,2009,DIESEL,1732000
SONATA,VTVT,2009,PETROL,1479000
SONATA,2.4 GDI MT,2011,PETROL,1946000
SONATA,2.4 GDI AT,2011,PETROL,2157000
,,,,
TERRACAN,CRDi,2003,DIESEL,2218000
TERRACAN,CRDi,2007,DIESEL,2497000
,,,,
SANTA-FE,4X2,2009,DIESEL,2454000
SANTA-FE,4X4,2009,DIESEL,2648000
SANTA-FE,4X4 AT,2009,DIESEL,2744000
SANTA-FE,2WD MT,2014,DIESEL,2794000
SANTA-FE,2WD AT,2014,DIESEL,2912000
SANTA-FE,4WD AT,2014,DIESEL,3116000
,,,,
GETZ,GLE,2004,PETROL,414000
GETZ,GLS,2004,PETROL,477000
GETZ,GLX,2004,PETROL,512000
GETZ,GVS,2004,PETROL,451000
GETZ,1.1 GLS,2007,PETROL,360000
GETZ,1.1 GVS,2007,PETROL,390000
GETZ,1.1 GVS OPTION,2007,PETROL,400000
GETZ,1.3 GLS,2007,PETROL,430000
GETZ,1.3 GLX,2007,PETROL,461000
GETZ,1.3 GVS,2007,PETROL,410000
GETZ,1.5 GVS CRDi,2007,DIESEL,502000
,,,,
EON,NEW,2011,PETROL,336000
EON,D LITE,2011,PETROL,334000
EON,D LITE PLUS,2011,PETROL,371000
EON,ERA,2011,PETROL,332000
EON,D LITE PLUS OPTION,2011,PETROL,362000
EON,ERA PLUS,2011,PETROL,385000
EON,D LITE OPTION,2011,PETROL,340000
EON,ERA PLUS SPORTS EDITION,2011,PETROL,401000
EON,ERA PLUS OPTION,2011,PETROL,395000
EON,MAGNA PLUS,2011,PETROL,416000
EON,MAGNA PLUS SPORTS EDITION,2011,PETROL,426000
EON,MAGNA OPTION,2011,PETROL,383000
EON,MAGNA PLUS OPTION ,2011,PETROL,426000
EON,SPORTZ,2011,PETROL,444000
EON,1.0 ERA PLUS,2011,PETROL,434000
EON,1.0 MAGNA PLUS OPTION,2011,PETROL,468000
EON,MAGNA,2011,PETROL,397000
EON,1.0 KAPPA MAGNA PLUS,2011,PETROL,415000
EON,1.0 KAPPA MAGNA PLUS OPTION,2011,PETROL,442000
EON,D LITE PLUS,2011,LPG,350000
EON,ERA PLUS,2011,LPG,392000
EON,ERA PLUS OPTION,2011,LPG,405000
EON,MAGNA PLUS,2011,LPG,423000
,,,,
TUSCON,CRDi,2005,DIESEL,1634000
TUSCON,2WD MT,2016,PETROL,1878000
TUSCON,GL 2WD AT,2016,PETROL,2188000
TUSCON,GL(O) 2WD AT,2016,PETROL,2248000
TUSCON,GLS 2WS AT,2016,PETROL,2375000
TUSCON,2WD MT,2016,DIESEL,2081000
TUSCON,GL 2WD AT,2016,DIESEL,2365000
TUSCON,GL (O) 2WD AT,2016,DIESEL,2465000
TUSCON,GLS 2WD AT,2016,DIESEL,2449000
TUSCON,GLS 4WD AT,2016,DIESEL,2699000
TUSCON,GL (O) 2WD AT,2020,PETROL,2269000
TUSCON,GLS 2WD AT,2020,PETROL,2436000
TUSCON,GL (O) 2WD AT,2020,DIESEL,2474000
TUSCON,GLS 2WD AT,2020,DIESEL,2608000
TUSCON,GLS 4WD AT,2020,DIESEL,2747000
,,,,
I10,D LITE,2007,PETROL,358000
I10,ERA,2007,PETROL,392000
