MODEL,VARIENT,YEAR,FUEL TYPE,EX SHOWROOM
Ninja ,ZX- 10R ,2004,Petrol ,"15,37,000"
Ninja ,650,2006,Petrol ,"6,68,000"
Ninja ,300,2013,Petrol ,"3,24,000"
Ninja ,H2,2021,Petrol ,"79,90,000"
Ninja ,1000SX ,2022,Petrol ,"11,51,000"
,,,,
Ninja ,Z800,2015,Petrol ,768137
Ninja ,Z900,2021,Petrol ,"8,43,000"
Ninja ,Z650,2021,Petrol ,"6,24,000"
Ninja ,Z650RS,2021,Petrol ,"6,97,000"
Ninja ,Z900RS,2021,Petrol ,"8,80,000"
,,,,
,,,,
,,,,
KLX ,110,2002,Petrol ,"2,99,000"
KLX ,140,2008,Petrol ,"4,06,000"
KLX ,450 R ,2018,Petrol ,"8,99,000"
,,,,
,,,,
Versys ,650,2015,Petrol ,"7,15,000"
Versys ,1000,2020,Petrol ,"11,72,000"
