Name,Varient,Year,Fuel type,Ex-Showroom (rupees)
,,,,
SELTOS,HTE,2019,PETROL,1105000
SELTOS,HTK,2019,PETROL,1214000
SELTOS,HTK PLUS,2019,PETROL,1330000
SELTOS,HTX,2019,PETROL,1534000
SELTOS,HTX PLUS,2019,PETROL,1590000
SELTOS,GTX,2019,PETROL,1752000
SELTOS,GTX PLUS,2019,PETROL,1862000
SELTOS,HTE,2019,DIESEL,1194000
SELTOS,HTK,2019,DIESEL,1341000
SELTOS,HTK PLUS,2019,DIESEL,1578000
SELTOS,HTX,2019,DIESEL,1666000
SELTOS,HTX PLUS,2019,DIESEL,1784000
SELTOS,GTX,2019,DIESEL,1988000
SELTOS,GTX PLUS,2019,DIESEL,2001000
,,,,
SONET,HTE,2020,PETROL,769000
SONET,HTK,2020,PETROL,878000
SONET,HTK PLUS,2020,PETROL,975000
SONET,HTX,2020,PETROL,1158000
SONET,HTX PLUS,2020,PETROL,1339000
SONET,GTX PLUS,2020,PETROL,1443000
SONET,HTE,2020,DIESEL,950000
SONET,HTRK,2020,DIESEL,1055000
SONET,HTK PLUS,2020,DIESEL,1110000
SONET,HTX,2020,DIESEL,1198000
SONET,HTX PLUS,2020,DIESEL,1363000
SONET,GTX PLUS,2020,DIESEL,1463000
,,,,
CARNIVAL,PREMUIM 7 STR,2019,DIESEL,2549000
CARNIVAL,PREMUIM 8 STR,2019,DIESEL,2515000
CARNIVAL,PRESTIGE 6 STR,2019,DIESEL,2949000
CARNIVAL,PRESTIGE 7 STR,2019,DIESEL,2999000
CARNIVAL,LIMOUSINE 7 STR,2019,DIESEL,3246000
CARNIVAL,LIMOUSINE PLUS 7 STR,2019,DIESEL,3449000
