Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
,,,,
BOLERO,DI WITHOUT AC,2004,DIESEL,489000
BOLERO,DI AC,2004,DIESEL,500000
BOLERO,DIZ,2004,DIESEL,489000
BOLERO,STD,2004,DIESEL,490000
BOLERO,DI DX 7STR,2008,DIESEL,531000
BOLERO,DI DX 8STR,2008,DIESEL,538000
BOLERO,B4,2019,DIESEL,966000
BOLERO,B6,2019,DIESEL,1047000
,,,,
BOLERO-NEO,N4,2021,DIESEL,899000
BOLERO-NEO,N8,2021,DIESEL,999000
BOLERO-NEO,N10,2021,DIESEL,1062000
BOLERO-NEO,N10 (O),2021,DIESEL,1133000
,,,,
SCORPIO,REV,2005,PETROL,752000
SCORPIO,M2DI,2005,DIESEL,752000
SCORPIO,2.6 CRDE,2006,DIESEL,760000
SCORPIO,2.6 LX,2006,DIESEL,760000
SCORPIO,2.6 SLX,2006,DIESEL,760000
SCORPIO,2.6 SLX CRDE,2006,DIESEL,760000
SCORPIO,2.6 SLX TURBO 7STR,2006,DIESEL,760000
SCORPIO,2.6 DX,2006,DIESEL,760000
SCORPIO,2.6 GLS,2006,DIESEL,795000
SCORPIO,2.6GLX,2006,DIESEL,795000
SCORPIO,2.6 GLX AWD,2006,DIESEL,795000
SCORPIO,EX,2011,DIESEL,890000
SCORPIO,VLX 4WD,2011,DIESEL,1371000
SCORPIO,S5,2018,DIESEL,1343000
SCORPIO,S7,2018,DIESEL,1574000
SCORPIO,S9,2018,DIESEL,1631000
SCORPIO,S11,2018,DIESEL,1758000
,,,,
XUV500,W4,2011,DIESEL,1247000
XUV500,W6,2011,DIESEL,1379000
XUV500,W8,2011,DIESEL,1568000
XUV500,W8 AWD,2011,DIESEL,1836000
XUV500,W6,2013,DIESEL,1343000
XUV500,W8,2013,DIESEL,1511000
XUV500,W8 AWD,2013,DIESEL,1629000
XUV500,SPORTZ,2015,DIESEL,153200
XUV500,XCLUSIVE,2015,DIESEL,1603000
XUV500,W4,2017,DIESEL,1398000
XUV500,W6,2017,DIESEL,1559000
XUV500,W8,2017,DIESEL,1725000
XUV500,W8 AWD,2017,DIESEL,1836000
XUV500,W9,2017,DIESEL,1726000
XUV500,W10,2017,DIESEL,177800
XUV500,W10 AWD,2017,DIESEL,1894000
XUV500,G AT,2017,PETROL,1732000
XUV500,W3,2019,DIESEL,1392000
XUV500,W5,2019,DIESEL,1606000
XUV500,W7,2019,DIESEL,1771000
XUV500,W9,2019,DIESEL,1994000
XUV500,W10,2019,DIESEL,2109000
XUV500,W11,2019,DIESEL,2202000
XUV500,G AT,2019,PETROL,1801000
,,,,
XUV300,W4,2019,DIESEL,1013000
XUV300,W6,2019,DIESEL,1192000
XUV300,W8,2019,DIESEL,1324000
XUV300,W8 (O),2019,DIESEL,1412000
XUV300,W4,2019,PETROL,916000
XUV300,W6,2019,PETROL,1110000
XUV300,W8,2019,PETROL,1193000
XUV300,W8 (O),2019,PETROL,1323000
XUV300,W4,2020,DIESEL,981000
XUV300,W6,2020,DIESEL,1070000
XUV300,W8,2020,DIESEL,1238000
XUV300,W8 (O),2020,DIESEL,1370000
XUV300,W4,2020,PETROL,886000
XUV300,W6,2020,PETROL,1010000
XUV300,W8,2020,PETROL,1178000
XUV300,W8 (O),2020,PETROL,1315000
XUV300,W4,2021,DIESEL,909000
XUV300,W6,2021,DIESEL,1063000
XUV300,W8,2021,DIESEL,1184000
XUV300,W8 (O),2021,DIESEL,1264000
XUV300,W4,2021,PETROL,795000
XUV300,W6,2021,PETROL,999000
XUV300,W8,2021,PETROL,1064000
XUV300,W8 (O),2021,PETROL,1182000
,,,,
TUV300,T4,2015,DIESEL,852000
TUV300,T6,2015,DIESEL,925000
TUV300,T4 +,2015,DIESEL,941000
TUV300,T6 +,2015,DIESEL,1005000
TUV300,T8,2015,DIESEL,1050000
TUV300,P4,2015,DIESEL,1053000
TUV300,T8 M HAWK 100,2015,DIESEL,1083000
TUV300,T10,2015,DIESEL,1119000
TUV300,T4 +,2019,DIESEL,957000
TUV300,T6 +,2019,DIESEL,1024000
TUV300,T8,2019,DIESEL,1094000
TUV300,T 10,2019,DIESEL,1120000
TUV300,T 10 (O),2019,DIESEL,1163000
,,,,
MARRAZO,M2 7 STR,2018,DIESEL,1430000
MARRAZO,M2 8STR,2018,DIESEL,1430000
MARRAZO,M4 PLUS 7 STR,2018,DIESEL,1556000
MARRAZO,M4 PLUS 8 STR,2018,DIESEL,1565000
MARRAZO,M6 PLUS 7 STR,2018,DIESEL,1663000
MARRAZO,M6 PLUS 8 STR,2018,DIESEL,1760000
,,,,
KUV100,K2 6 STR,2015,DIESEL,635000
KUV100,K2+ 6STR,2015,DIESEL,662000
KUV100,K4 5 STR,2015,DIESEL,662000
