Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
ALTO,LXI,2012,PETROL,290000
ALTO,VXI,2012,PETROL,329000
ALTO,K10,2016,PETROL,356000
ALTO800,LXI,2014,PETROL,293000
ALTO800,VXI,2014,PETROL,331000
ALTO800,CNG LXI,2015,PETROL,342000
,,,,
WAGONR,LXI,2010,PETROL,320000
WAGONR,VXI,2010,PETROL,420000
WAGONR,LXI,2012,PETROL,350000
WAGONR,VXI,2012,PETROL,380000
WAGONR,CNG,2013,PETROL,431000
WAGONR,STINGRAY,2015,PETROL,498000
WAGONR,LXI,2019,PETROL,492000
WAGONR,VXI,2019,PETROL,585000
WAGONR,ZXI,2019,PETROL,595000
,,,,
DZIRE,LXI,2008,PETROL,514000
DZIRE,VXI,2008,PETROL,566000
DZIRE,ZXI,2008,PETROL,660000
DZIRE,LDI,2008,DIESEL,591000
DZIRE,VDI,2008,DIESEL,667000
DZIRE,ZDI,2008,DIESEL,751000
DZIRE,LXI,2015,PETROL,523000
DZIRE,VXI,2015,PETROL,599000
DZIRE,ZXI,2015,PETROL,698000
DZIRE,LDI,2015,DIESEL,611000
DZIRE,VDI,2015,DIESEL,720000
DZIRE,ZDI,2015,DIESEL,807000
,,,,
SWIFT,LXI,2005,PETROL,462000
SWIFT,VXI,2005,PETROL,495000
SWIFT,ZXI,2005,PETROL,586000
SWIFT,LDI,2005,DIESEL,547000
SWIFT,VDI,2005,DIESEL,517000
SWIFT,LXI,2011,PETROL,477000
SWIFT,VXI,2011,PETROL,498000
SWIFT,ZXI,2011,PETROL,565000
SWIFT,LDI,2011,DIESEL,553000
SWIFT,VDI,2011,DIESEL,599000
SWIFT,ZDI,2011,DIESEL,670000
SWIFT,LXI,2018,PETROL,569000
SWIFT,VXI,2018,PETROL,678000
SWIFT,ZXI,2018,PETROL,746000
SWIFT,LDI,2018,DIESEL,678000
SWIFT,VDI,2018,DIESEL,783000
SWIFT,ZDI,2018,DIESEL,853000
,,,,
ERTIGA,LXI,2012,PETROL,760000
ERTIGA,VXI,2012,PETROL,785000
ERTIGA,ZXI,2012,PETROL,874000
ERTIGA,LDI,2012,DIESEL,859000
ERTIGA,VDI,2012,DIESEL,934000
ERTIGA,ZDI,2012,DIESEL,1007000
ERTIGA,LXI,2015,PETROL,778000
ERTIGA,VXI,2015,PETROL,871000
ERTIGA,ZXI,2015,PETROL,938000
ERTIGA,LDI + SHVS,2015,DIESEL,108000
ERTIGA,VDI + SHVS,2015,DIESEL,1086000
ERTIGA,ZDI + SHVS,2015,DIESEL,1163000
,,,,
CIAZ,VXI,2014,PETROL,856000
CIAZ,ZXI,2014,PETROL,1000000
CIAZ,ZXI+,2014,PETROL,1062000
CIAZ,VDI shvs,2014,DIESEL,962000
CIAZ,ZDI shvs,2014,DIESEL,1090000
CIAZ,ZDI+shvs,2014,DIESEL,1162000
CIAZ,ZXI+ RS shvs,2014,PETROL,982000
CIAZ,SIGMA 1.3,2018,DIESEL,919000
CIAZ,DELTA 1.5/1.3,2018,DIESEL,997000
CIAZ,ZETA 1.5/1.3,2018,DIESEL,1108000
CIAZ,ALPHA1.5/1.3,2018,DIESEL,1137000
CIAZ,SIGMA,2020,PETROL,971000
