Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
,,,,
LANCER,LXi 1.5,2004,PETROL,726000
LANCER,LXd 2.0,2004,DIESEL,817000
,,,,
PAJERO,2.8 GLX SPORTS,2002,DIESEL,1881000
PAJERO,2.8 L,2002,DIESEL,1818000
PAJERO,3.2 DI D,2002,DIESEL,1881000
PAJERO,4X4 LHD,2002,DIESEL,1881000
PAJERO,2.8 SFX,2002,DIESEL,2110000
PAJERO,2.8 GLX CRZ,2002,DIESEL,2200000
PAJERO,2.8 SFX,2002,DIESEL,2200000
PAJERO,2.8 SFX 7 STR,2002,DIESEL,2200000
,,,,
PAJERO-SPORT,2.5 MT,2010,DIESEL,2805000
PAJERO-SPORT,2.5 AT,2010,DIESEL,2833000
PAJERO-SPORT,LIMITED EDTION,2010,DIESEL,2858000
PAJERO-SPORT,SELECT PLUS AT,2010,DIESEL,2949000
PAJERO-SPORT,SELECT PLUS MT,2010,DIESEL,2996000
,,,,
OUTLANDER,2.4 CHROME LTD,2008,DIESEL,2079000
OUTLANDER,2.4 MIVEC,2008,DIESEL,2048000
OUTLANDER,2.4 MIVEC 7STR,2008,DIESEL,2075000
