Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
,,,,
SUNNY,XE,2011,PETROL,787000
SUNNY,XL,2011,PETROL,9310000
SUNNY,XV,2011,PETROL,1103000
SUNNY,XE D,2011,DIESEL,958000
SUNNY,XL D,2011,DIESEL,1014000
SUNNY,XV D,2011,DIESEL,1103000
SUNNY,XV D LEATHER PACK,2011,DIESEL,1216000
SUNNY,SPECIAL EDITION,2011,DIESEL,976000
,,,,
MICRA,XL,2010,PETROL,739000
MICRA,XV,2010,PETROL,869000
MICRA,XL,2010,DIESEL,827000
MICRA,XV,2010,DIESEL,906000
,,,,
KICKS,XE,2019,DIESEL,1121000
KICKS,XL,2019,DIESEL,1261000
KICKS,XV,2019,DIESEL,1481000
KICKS,XV PRE ,2019,DIESEL,1548000
KICKS,XV PRE (O),2019,DIESEL,1639000
KICKS,XL,2020,PETROL,949000
KICKS,XV,2020,PETROL,999000
KICKS,XV TURBO,2020,PETROL,1230000
KICKS,XV PRE TURBO,2020,PETROL,1320000
KICKS,XV PRE TURBO (O),2020,PETROL,1583000
,,,,
TERRANO,XE,2013,DIESEL,1107000
TERRANO,XL,2013,DIESEL,1301000
TERRANO,XV,2013,DIESEL,1440000
TERRANO,XL THP ,2013,DIESEL,1521000
TERRANO,XV THP,2013,DIESEL,1504000
TERRANO,XV THP PREMIUM,2013,DIESEL,1476000
