Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
,,,,
FLUENCE,ADVANTAGE EDITION,2011,DIESEL,1276000
FLUENCE,E2,2011,DIESEL,1415000
FLUENCE,E4,2011,DIESEL,1567000
FLUENCE,E2,2014,DIESEL,1500000
FLUENCE,E4,2014,DIESEL,1661000
,,,,
KOLEOS,4X4,2011,DIESEL,2430000
KOLEOS,4X2,2014,DIESEL,2392000
KOLEOS,4X4,2014,DIESEL,2720000
,,,,
PULSE,RxE,2014,DIESEL,600000
PULSE,RxL ABS,2014,DIESEL,623000
PULSE,RxL  ,2014,DIESEL,636000
PULSE,RxZ AIRBAGS,2014,DIESEL,696000
PULSE,RxZ  ,2014,DIESEL,706000
PULSE,RxE,2014,PETROL,453000
PULSE,RxL,2014,PETROL,518000
PULSE,RxZ,2014,PETROL,586000
PULSE,RxL ABS,2014,DIESEL,627000
PULSE,RxZ,2014,DIESEL,699000
PULSE,RxL,2014,PETROL,510000
,,,,
SCALA,RxE,2012,DIESEL,874000
SCALA,RxL,2012,DIESEL,885000
SCALA,RxL TRAVELOUGE,2012,DIESEL,946000
SCALA,RxZ,2012,DIESEL,927000
SCALA,RxZ TRAVELOUGE,2012,DIESEL,1037000
SCALA,TRAVELOUGE EDITION,2012,DIESEL,1000000
SCALA,RxE,2012,PETROL,759000
SCALA,RxL,2012,PETROL,783000
SCALA,RxL TRAVELOUGE,2012,PETROL,959000
SCALA,RxZ,2012,PETROL,1053000
,,,,
LODGY,110PS RxL,2015,DIESEL,1058000
LODGY,110PS WORLD EDITION,2015,DIESEL,1074000
LODGY,110PS RXZ STEPWAY 8STR,2015,DIESEL,1238000
LODGY,110PS RXZ STEPWAY 7 STR,2015,DIESEL,1238000
LODGY,110PS RXZ 7 STR,2015,DIESEL,1217000
LODGY,110 PS RXZ 8 STR,2015,DIESEL,1245000
LODGY,85PS RXL,2015,DIESEL,984000
LODGY,85PS RXL STEPWAY,2015,DIESEL,1079000
LODGY,85PS RXE 7STR,2015,DIESEL,988000
LODGY,85PS RXE 8STR,2015,DIESEL,980000
LODGY,85 STD 8 STR,2015,DIESEL,884000
LODGY,85 PS WORLD EDITION 8 STR,2015,DIESEL,1003000
,,,,
CAPTUR,RXE,2017,DIESEL,1100000
CAPTUR,RXL,2017,DIESEL,1253000
CAPTUR,RXT,2017,DIESEL,1315000
CAPTUR,PLATINE,2017,DIESEL,1349000
,,,,
DUSTER,85PS RxE ,2012,DIESEL,922000
DUSTER,85PS RxE ADVENTURE,2012,DIESEL,939000
DUSTER,85PS RxL,2012,DIESEL,1025000
DUSTER,85PS RxL PLUS,2012,DIESEL,1096000
DUSTER,85PS RxL (O),2012,DIESEL,1157000
DUSTER,110PS RxL,2012,DIESEL,1132000
DUSTER,110PS RxL ADVETURE,2012,DIESEL,1207000
DUSTER,110PS RxZ,2012,DIESEL,1158000
DUSTER,110PS RxZ PLUS,2012,DIESEL,1261000
DUSTER,110PS RxL AWD,2012,DIESEL,1263000
DUSTER,110PS RxZ (O),2012,DIESEL,1263000
DUSTER,110PS RxZ AWD,2012,DIESEL,1382000
DUSTER,RxE,2012,PETROL,796000
DUSTER,RxL,2012,PETROL,977000
DUSTER,85PS BASE 4X2,2016,DIESEL,895000
DUSTER,85PS RxE 4X2,2016,DIESEL,924000
DUSTER,85PS RxS 4X2,2016,DIESEL,1000000
DUSTER,ADVENTURE RxE 4X2,2016,DIESEL,1001000
DUSTER,85PS SANDSTORM,2016,DIESEL,1027000
DUSTER,85PS RXL 4X2,2016,DIESEL,1073000
DUSTER,85PS RXZ 4X2,2016,DIESEL,1124000
DUSTER,110S SANDSTORM EDITION,2016,DIESEL,1166000
DUSTER,110PS RXL 4X2,2016,DIESEL,1152000
DUSTER,110PS RXZ 4X2,2016,DIESEL,1214000
DUSTER,110PS RXZ 4X4,2016,DIESEL,1313000
DUSTER,RXE,2016,PETROL,800000
DUSTER,RXL ,2016,PETROL,883000
DUSTER,RXS,2016,PETROL,924000
DUSTER,RXS,2020,PETROL,985000
DUSTER,RXZ,2020,PETROL,1000000
DUSTER,RXE TURBO,2020,PETROL,1125000
DUSTER,RXS TURBO,2020,PETROL,1203000
DUSTER,RXZ TURBO,2020,PETROL,1265000
,,,,
KWID,STD,2015,PETROL,279000
KWID,RXE OPT,2015,PETROL,315000
KWID,RXE  ,2015,PETROL,322000
KWID,RXL,2015,PETROL,349000
KWID,RXL EDITION,2015,PETROL,363000
KWID,1.0 RXL,2015,PETROL,371000
KWID,RXT,2015,PETROL,381000
KWID,1.0 RXL EDITION,2015,PETROL,387000
KWID,RXT EDITION,2015,PETROL,393000
KWID,RXT OPT,2015,PETROL,394000
KWID,1.0 RXT,2015,PETROL,403000
KWID,1.0 RXT OPT,2015,PETROL,416000
KWID,1.0 RXT EDITION,2015,PETROL,417000
KWID,CLIMBER,2015,PETROL,442000
KWID,1.0 MARVEL CAPTAIN AMERICA,2015,PETROL,444000
KWID,1.0 IRON MAN EDITION,2015,PETROL,444000
KWID,RXE 0.8,2020,PETROL,424000
KWID,RXL 0.8,2020,PETROL,458000
KWID,RXL 1.0,2020,PETROL,469000
KWID,RXT 0.8,2020,PETROL,488000
KWID,RXT 1.0 (O),2020,PETROL,509000
KWID,CLIMBER 1.0 (O),2020,PETROL,530000
,,,,
TRIBBER,RXE,2019,PETROL,567000
TRIBBER,RXL,2019,PETROL,640000
TRIBBER,RXT,2019,PETROL,695000
TRIBBER,RXZ,2019,PETROL,754000
,,,,
KIGGER,RXE,2020,PETROL,579000
KIGGER,RXL,2020,PETROL,672000
KIGGER,RXT,2020,PETROL,723000
KIGGER,RXT (O),2020,PETROL,758000
KIGGER,RXZ,2020,PETROL,810000
KIGGER,RXT 1.0 TURBO,2020,PETROL,920000
