Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
,,,,
OCTAVIA,RIDER,2002,DIESEL,1131000
OCTAVIA,AMBIENTE,2002,DIESEL,1152000
OCTAVIA,ELEGANCE,2002,DIESEL,1247000
OCTAVIA,ELEGANC PLUS,2002,DIESEL,1316000
OCTAVIA,L&K,2002,DIESEL,1591000
OCTAVIA,AMBIENTE,2002,PETROL,1040000
OCTAVIA,RIDER,2002,PETROL,1118000
OCTAVIA,RS,2002,PETROL,1366000
OCTAVIA,ELEGANCE,2002,PETROL,1333000
OCTAVIA,RIDER 2.0,2002,PETROL,1355000
OCTAVIA,ACTIVE,2013,PETROL,1485000
OCTAVIA,AMBITION,2013,PETROL,1612000
OCTAVIA,ELEGANCE,2013,PETROL,1986000
OCTAVIA,STYLE PLUS,2013,PETROL,2015000
OCTAVIA,ACTIVE,2013,DIESEL,1650000
OCTAVIA,AMBITION,2013,DIESEL,1805000
OCTAVIA,ELEGANCE,2013,DIESEL,2083000
OCTAVIA,STYLE PLUS,2013,DIESEL,2168000
OCTAVIA,AMBATION ,2015,PETROL,1556000
OCTAVIA,AMBITION PLUS,2015,PETROL,1739000
OCTAVIA,ONYX EDITION,2015,PETROL,2070000
OCTAVIA,STYLE PLUS,2015,PETROL,2075000
OCTAVIA,AMBITION ,2015,DIESEL,1673000
OCTAVIA,AMBITION PLUS,2015,DIESEL,1874000
OCTAVIA,STYLE PLUS,2015,DIESEL,2223000
OCTAVIA,ONYX EDITION,2015,DIESEL,2224000
OCTAVIA,AMBITION,2017,PETROL,1600000
OCTAVIA,STYLE ,2017,PETROL,1899000
OCTAVIA,ONYX EDITION,2017,PETROL,2000000
OCTAVIA,STYLE PLUS,2017,PETROL,2163000
OCTAVIA,L&K,2017,PETROL,2359000
OCTAVIA,RS,2017,PETROL,2680000
OCTAVIA,RS 245,2017,PETROL,3630000
OCTAVIA,AMBITION,2017,DIESEL,1799000
OCTAVIA,STYLE,2017,DIESEL,2079000
OCTAVIA,ONYX EDITION,2017,DIESEL,2200000
OCTAVIA,L&K,2017,DIESEL,2363000
OCTAVIA,STYLE PLUS,2017,DIESEL,2370000
OCTAVIA,STYLE,2021,PETROL,2629000
OCTAVIA,L&K,2021,PETROL,2929000
,,,,
LAURA,AMBIENTE,2005,DIESEL,1362000
LAURA,ELEGANCE,2005,DIESEL,1462000
LAURA,L&K,2005,DIESEL,1607000
LAURA,CLASSIC,2009,PETROL,1258000
LAURA,ACTIVE,2009,PETROL,1306000
LAURA,AMBIENTE,2009,PETROL,1363000
LAURA,AMBITION,2009,PETROL,1482000
LAURA,RS,2009,PETROL,1667000
LAURA,AMBIENTE 1.9,2009,DIESEL,1377000
LAURA,AMBIENTE 2.0,2009,DIESEL,1409000
LAURA,AMBITION 2.0,2009,DIESEL,1472000
LAURA,ELEGANCE 1.9,2009,DIESEL,1539000
LAURA,ELEGANCE 2.0,2009,DIESEL,1652000
LAURA,L&K 2.0,2009,DIESEL,1943000
,,,,
FABIA,ACTIVE,2008,PETROL,503000
FABIA,CLASSIC,2008,PETROL,554000
FABIA,AMBIENTE,2008,PETROL,632000
FABIA,ELEGANCE,2008,PETROL,676000
FABIA,ACTIVE,2008,DIESEL,602000
FABIA,CLASSIC,2008,DIESEL,656000
FABIA,AMBIENTE,2008,DIESEL,743000
FABIA,ELEGANCE,2008,DIESEL,788000
,,,,
YETI,ACTIVE 4X2,2010,DIESEL,1537000
YETI,AMBIENTE,2010,DIESEL,1551000
YETI,AMBINATION 4X2,2010,DIESEL,1619000
YETI,AMBITION 4X4,2010,DIESEL,1737000
YETI,ELEGANCE 4X4,2010,DIESEL,2043000
YETI,STYLE 4X2,2015,DIESEL,2185000
YETI,STYLE 4X4,2015,DIESEL,2369000
,,,,
SUPERB,COMFORT,2004,DIESEL,2038000
SUPERB,ELEGANCE,2004,DIESEL,2230000
SUPERB,V6 COMFORT,2004,PETROL,2052000
SUPERB,AMBITION,2009,PETROL,1877000
SUPERB,ELEGANCE,2009,PETROL,2074000
SUPERB,FSI 4X4,2009,PETROL,2805000
SUPERB,AMBITION,2014,PETROL,1885000
SUPERB,ELEGANCE,2014,PETROL,2225000
SUPERB,AMBITION,2014,DIESEL,2336000
SUPERB,ELEGANCE,2014,DIESEL,2692000
SUPERB,CORPORATE EDITION,2016,PETROL,2398000
SUPERB,STYLE,2016,PETROL,2599000
SUPERB,SPORTLINE,2016,PETROL,2900000
SUPERB,L&K,2016,PETROL,3099000
SUPERB,STYLE,2016,DIESEL,2850000
SUPERB,L&K,2016,DIESEL,3103000
SUPERB,SPORTLINE,2016,DIESEL,3150000
SUPERB,SPORTLINE,2021,PETROL,3285000
SUPERB,L&K,2021,PETROL,3585000
,,,,
,,,,
RAPID,ACTIVE,2011,PETROL,719000
RAPID,ACTIVE PLUS,2011,PETROL,734000
RAPID,AMBITION,2011,PETROL,752000
RAPID,AMBITION PLUS,2011,PETROL,810000
RAPID,LEISURE,2011,PETROL,825000
RAPID,AMBITION PLUS ALLOY,2011,PETROL,825000
RAPID,ULTIMA AMBITION,2011,PETROL,844000
RAPID,ELEGANCE,2011,PETROL,870000
RAPID,ULTIMA ELEGANCE,2011,PETROL,907000
RAPID,ACTIVE,2011,DIESEL,837000
RAPID,ACTIVE PLUS,2011,DIESEL,856000
RAPID,AMBITION,2011,DIESEL,881000
RAPID,PRESTIGE AMBITION,2011,DIESEL,913000
RAPID,AMBITION PLUS,2011,DIESEL,919000
RAPID,PRESTIGE PLUS,2011,DIESEL,932000
RAPID,AMBITION PLUS ALLOY,2011,DIESEL,934000
RAPID,ULTIMA AMBITION,2011,DIESEL,953000
RAPID,LEISURE,2011,DIESEL,954000
RAPID,ELEGANCE,2011,DIESEL,974000
RAPID,ULTIMA ELEGANCE,2011,DIESEL,1011000
RAPID,ACTIVE,2014,PETROL,798000
RAPID,AMBITION PLUS,2014,PETROL,842000
RAPID,AMBITION,2014,PETROL,852000
RAPID,AMBITION WITH ALLOY,2014,PETROL,868000
RAPID,ELEGANCE,2014,PETROL,897000
RAPID,ELEGANCE BLACK PACKAGE,2014,PETROL,911000
RAPID,ELEGANCE PLUS,2014,PETROL,932000
RAPID,ELEGANCE PLUS BLACK PACKAGE,2014,PETROL,645000
RAPID,ACTIVE,2014,DIESEL,887000
RAPID,AMBITION PLUS,2014,DIESEL,951000
RAPID,AMBITION,2014,DIESEL,944000
RAPID,AMBITION WITH ALLOY,2014,DIESEL,960000
RAPID,ELEGANCE,2014,DIESEL,997000
RAPID,ELEGANCE BLACK PACKAGE,2014,DIESEL,1011000
RAPID,ELEGANCE PLUS,2014,DIESEL,1032000
RAPID,ELEGANCE PLUS BLACK PACKAGE,2014,DIESEL,1046000
RAPID,ACTIVE,2015,PETROL,825000
RAPID,AMBITION,2015,PETROL,928000
RAPID,STYLE PLUS,2015,PETROL,996000
RAPID,STYLE PLUS BLACK PACKAGE,2015,PETROL,1010000
RAPID,ACTIVE,2015,DIESEL,941000
RAPID,AMBITION,2015,DIESEL,1043000
RAPID,STYLE PLUS,2015,DIESEL,1105000
RAPID,STYLE PLUS BLACK PACKAGE,2015,DIESEL,1118000
RAPID,ONYX,2017,PETROL,976000
RAPID,MONTE CARLO,2017,PETROL,1081000
RAPID,ONYX,2017,DIESEL,1159000
RAPID,MONTE CARLO,2017,DIESEL,1249000
RAPID,RIDER LIMITED EDITION,2019,PETROL,699000
RAPID,RIDER  ,2020,PETROL,780000
RAPID,RIDER PLUS,2020,PETROL,820000
RAPID,AMBITION,2020,PETROL,1000000
RAPID,ONYX,2020,PETROL,1020000
RAPID,STYLE,2020,PETROL,1170000
RAPID,MATTE,2020,PETROL,1199000
RAPID,MONTE CARLO,2020,PETROL,1200000
,,,,
KODIAQ,STYLE 4X4 ,2017,PETROL,3300000
KODIAQ,L&K 4X4,2017,PETROL,3679000
KODIAQ,SCOUT,2017,DIESEL,3399000
KODIAQ,STYLE ,2022,PETROL,3499000
KODIAQ,SPORTLINE,2022,PETROL,3599000
KODIAQ,L&K ,2022,PETROL,3749000
,,,,
KUSHAQ,ACTIVE 1.0,2021,PETROL,1098000
KUSHAQ,AMBITION 1.0,2021,PETROL,1279000
KUSHAQ,STYLE 1.0,2021,PETROL,1489000
KUSHAQ,STYLE 1.5,2021,PETROL,1649000
