Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
FORTUNER,2.8 4X2 MT,2021,DIESEL,3323000
FORTUNER,2.8 4X2 AT,2021,DIESEL,3551000
FORTUNER,2.8 4X4 MT,2021,DIESEL,3589000
FORTUNER,2.8 4X4 AT,2021,DIESEL,3819000
FORTUNER,LEGENDER 2.8 4X2 AT,2021,DIESEL,3861000
FORTUNER,LEGENDER 2.8 4X4 AT,2021,DIESEL,4233000
,,,,
YARIS,J,2017,PETROL,1044000
YARIS,G,2017,PETROL,1177000
YARIS,V,2017,PETROL,1307000
YARIS,VX,2017,PETROL,1575000
YARIS,J,2021,PETROL,916000
YARIS,G,2021,PETROL,990000
YARIS,V,2021,PETROL,1208000
YARIS,VX,2021,PETROL,1300000
,,,,
LAND-CRUISER,LC 200 VX STANDARD 1,2011,DIESEL,10000000
LAND-CRUISER,LC 200 VX PREMIUM 2,2011,DIESEL,10200000
LAND-CRUISER,LC 200 VX,2012,DIESEL,13800000
LAND-CRUISER,LC 200 VX,2016,DIESEL,17000000
,,,,
ETIOS,STD,2010,PETROL,643000
ETIOS,G,2010,PETROL,650000
ETIOS,DLX,2010,PETROL,683000
ETIOS,GX,2010,PETROL,689000
ETIOS,HIGH,2010,PETROL,717000
ETIOS,V,2010,PETROL,718000
ETIOS,STD,2010,DIESEL,756000
ETIOS,GD,2010,DIESEL,760000
ETIOS,DLX,2010,DIESEL,796000
ETIOS,GXD,2010,DIESEL,799000
,,,,
ETIOS-LIVA,GX,2010,PETROL,636000
ETIOS-LIVA,V,2010,PETROL,648000
ETIOS-LIVA,VX,2010,PETROL,707000
ETIOS-LIVA,GXD,2010,DIESEL,778000
ETIOS-LIVA,VD,2010,DIESEL,787000
ETIOS-LIVA,VXD,2010,DIESEL,832000
,,,,
INNOVA,G4,2005,PETROL,971000
INNOVA,G1,2005,PETROL,1081000
INNOVA,V,2005,PETROL,1145000
INNOVA,E,2005,PETROL,683000
INNOVA,MS 7STR,2005,DIESEL,958000
INNOVA,PS 7STR,2005,DIESEL,1051000
INNOVA,MS8 STR,2005,DIESEL,953000
INNOVA,PS 8STR,2005,DIESEL,1011000
INNOVA,G,2012,PETROL,1143000
INNOVA,GX,2012,PETROL,1296000
INNOVA,VX,2012,PETROL,1593000
INNOVA,PS 7STR BS-III,2012,DIESEL,1117000
INNOVA,PS 7STR BS-IV,2012,DIESEL,1145000
INNOVA,PS 8STR BS-III,2012,DIESEL,1113000
INNOVA,PS 8STR BS-IV,2012,DIESEL,1140000
INNOVA-CRYSTA,G 7STR,2016,DIESEL,1499000
INNOVA-CRYSTA,G 8STR,2016,DIESEL,1504000
INNOVA-CRYSTA,GX 7STR,2016,DIESEL,1562000
INNOVA-CRYSTA,GX 8STR,2016,DIESEL,1667000
INNOVA-CRYSTA,VX 7STR ,2016,DIESEL,1792000
INNOVA-CRYSTA,VX 8STR,2016,DIESEL,1797000
INNOVA-CRYSTA,ZX 7STR,2016,DIESEL,1840000
INNOVA-CRYSTA,ZX 8STR,2016,DIESEL,1867000
INNOVA-CRYSTA,GX 7 STR,2021,PETROL,1718000
INNOVA-CRYSTA,GX 8STR,2021,PETROL,1723000
INNOVA-CRYSTA,VX 7STR ,2021,PETROL,2274000
INNOVA-CRYSTA,ZX 7 STR,2021,PETROL,2304000
INNOVA-CRYSTA,G 7STR,2021,DIESEL,2019000
INNOVA-CRYSTA,G 8STR,2021,DIESEL,2024000
INNOVA-CRYSTA,G PLUS 7 STR,2021,DIESEL,2121000
INNOVA-CRYSTA,G PLUS 8 STR,2021,DIESEL,2126000
INNOVA-CRYSTA,GX 7STR,2021,DIESEL,2140000
INNOVA-CRYSTA,GX 8STR,2021,DIESEL,2140000
INNOVA-CRYSTA,VX 7STR ,2021,DIESEL,2428000
INNOVA-CRYSTA,VX 8 STR,2021,DIESEL,2488000
INNOVA-CRYSTA,ZX 7 STR,2021,DIESEL,2663000
,,,,
CAMRY,W1,2010,PETROL,2512000
CAMRY,W2,2010,PETROL,2705000
CAMRY,W3,2010,PETROL,2570000
CAMRY,W4,2010,PETROL,2764000
CAMRY,2.5 G,2012,PETROL,2890000
CAMRY,2.5 L ,2012,PETROL,3358000
CAMRY,HYBRID,2012,PETROL,3532000
CAMRY,2.5 L AT,2015,PETROL,3308000
CAMRY,HYBRD,2015,PETROL,4144000
CAMRY,HYBRID,2019,PETROL,4211000
CAMRY,HYBRID,2022,PETROL,4170000
,,,,
VELLFIRE,HYBRID,2019,PETROL,8990000
,,,,
URBAN-CRUISER,MID GRADE,2020,PETROL,872500
URBAN-CRUISER,HIGH GRADE,2020,PETROL,947500
URBAN-CRUISER,PREMIUM GRADE,2020,PETROL,995500
,,,,
GLANZA,G,2019,PETROL,749000
GLANZA,G HYBRD,2019,PETROL,814000
GLANZA,V,2019,PETROL,825000
