Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
,,,,
BEETLE,1.4 TSI,2010,PETROL,3032000
BEETLE,2.0 TST,2010,PETROL,2122000
,,,,
PHATEON,3.6L ,2009,PETROL,7716000
,,,,
TOUAREG,3.0 V6,2008,PETROL,5260000
,,,,
PASSAT,1.8L TSI,2007,PETROL,1932000
PASSAT,TRENDLINE,2007,DIESEL,2233000
PASSAT,PD DSG  ,2007,DIESEL,2307000
PASSAT,PD DSG S,2007,DIESEL,2514000
PASSAT,COMFORTLINE DSG,2007,DIESEL,2252000
PASSAT,HIGHLINE DSG,2007,DIESEL,2754000
PASSAT,COMFRTLINE CONNECT,2017,DIESEL,2599000
PASSAT,HIGHLINE CONNECT,2017,DIESEL,2899000
PASSAT,COMFORTLINE  ,2017,DIESEL,3021000
PASSAT,HIGHLINE ,2017,DIESEL,3321000
,,,,
JETTA,TRENDLINE 1.6,2008,PETROL,1312000
JETTA,TRENDLINE 1.9,2008,DIESEL,1415000
JETTA,TRENDLINE 2.0,2008,DIESEL,1440000
JETTA,CONFORTLINE 2.0,2008,DIESEL,1607000
JETTA,COMFORTLINE 1.9,2008,DIESEL,1659000
JETTA,TRENDLINE,2013,PETROL,1356000
JETTA,COMFORTLINE  ,2013,PETROL,1503000
JETTA,TRENDLINE,2013,DIESEL,1499000
JETTA,COMFORTLINE,2013,DIESEL,1647000
JETTA,HIGHLINE,2013,DIESEL,1845000
,,,,
AMEO,1.0 PACE,2017,PETROL,611000
AMEO,TRENDLINE 1.0,2017,PETROL,599000
AMEO,TRENDLINE 1.2,2017,PETROL,567000
AMEO,COMFORTLINE 1.0,2017,PETROL,669000
AMEO,COMFORTLINE 1.2,2017,PETROL,621000
AMEO,COMFORTLINE PLUS 1.2,2017,PETROL,641000
AMEO,CUP EDITION ,2017,PETROL,660000
AMEO,HIGHLINE 1.0,2017,PETROL,728000
AMEO,HIGHLINE 1.2,2017,PETROL,719000
